2014-12-01|Cesc Fàbregas|4|EPL|Chelsea|Midfielder|1|10|http://www.premierleague.com/en-gb/players/profile.statistics.html/francesc-fabregas
2014-12-01|Diego Costa|19|EPL|Chelsea|Forward|11|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/diego-costa
2014-12-01|Dusan Tadic|11|EPL|Southampton|Midfielder|1|6|http://www.premierleague.com/en-gb/players/profile.statistics.html/dusan-tadic
2014-12-01|Gylfi Sigurdsson|23|EPL|Swansea City|Midfielder|2|8|http://www.premierleague.com/en-gb/players/profile.statistics.html/gylfi-sigurdsson
2014-12-01|Ángel Di María|7|EPL|Manchester United|Midfielder|3|6|http://www.premierleague.com/en-gb/players/profile.statistics.html/angel-di-maria
2014-12-01|Leighton Baines|3|EPL|Everton|Defender|2|6|http://www.premierleague.com/en-gb/players/profile.statistics.html/leighton-baines
2014-12-01|Alexis Sánchez|17|EPL|Arsenal|Forward|8|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/alexis-sanchez
2014-12-01|Sergio Agüero|16|EPL|Manchester City|Forward|12|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/sergio-aguero
2014-12-01|Saido Berahino|18|EPL|West Bromwich Albion|Forward|7|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/saido-berahino
2014-12-01|Nacer Chadli|22|EPL|Tottenham Hotspur|Midfielder|6|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/nacer-chadli
2014-12-01|Chris Brunt|11|EPL|West Bromwich Albion|Midfielder|0|4|http://www.premierleague.com/en-gb/players/profile.statistics.html/chris-brunt
2014-12-01|Erik Lamela|11|EPL|Tottenham Hotspur|Midfielder|0|4|http://www.premierleague.com/en-gb/players/profile.statistics.html/erik-lamela
2014-12-01|Raheem Sterling|31|EPL|Liverpool|Midfielder|3|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/raheem-sterling
2014-12-01|Stewart Downing|11|EPL|West Ham United|Midfielder|2|4|http://www.premierleague.com/en-gb/players/profile.statistics.html/stewart-downing
2014-12-01|Graziano Pellè|19|EPL|Southampton|Forward|6|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/graziano-pelle
2014-12-01|Charlie Austin|9|EPL|Queens Park Rangers|Forward|7|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/charlie-austin
2014-12-01|Wayne Rooney|10|EPL|Manchester United|Forward|5|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/wayne-rooney
2014-12-01|Enner Valencia|31|EPL|West Ham United|Forward|3|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/enner-valencia
2014-12-01|Papiss Demba Cissé|9|EPL|Newcastle United|Forward|4|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/papiss-demba-cisse
2014-12-01|Wilfried Bony|10|EPL|Swansea City|Forward|6|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/wilfried-bony
2014-12-01|Diafra Sakho|15|EPL|West Ham United|Forward|6|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/diafra-sakho
2014-12-01|Jordan Henderson|14|EPL|Liverpool|Midfielder|1|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/jordan-henderson
2014-12-01|Oscar|8|EPL|Chelsea|Midfielder|3|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/oscar
2014-12-01|Steven Fletcher|9|EPL|Sunderland|Forward|4|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/steven-fletcher
2014-12-01|Stephen Quinn|29|EPL|Hull City|Midfielder|0|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/stephen-quinn
2014-12-01|Jason Puncheon|42|EPL|Crystal Palace|Midfielder|1|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/jason-puncheon
2014-12-01|Danny Welbeck|23|EPL|Arsenal|Forward|3|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/danny-welbeck
2014-12-01|Sebastian Larsson|7|EPL|Sunderland|Midfielder|2|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/sebastian-larsson
2014-12-01|Jesús Navas|15|EPL|Manchester City|Midfielder|0|4|http://www.premierleague.com/en-gb/players/profile.statistics.html/jesus-navas
2014-12-01|Victor Moses|13|EPL|Stoke City|Midfielder|1|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/victor-moses
2014-12-01|Romelu Lukaku|10|EPL|Everton|Forward|5|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/romelu-lukaku
2014-12-01|David Silva|21|EPL|Manchester City|Midfielder|2|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/david-silva
2014-12-01|Juan Mata|8|EPL|Manchester United|Midfielder|3|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/juan-mata
2014-12-01|Leonardo Ulloa|23|EPL|Leicester City|Forward|5|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/leonardo-ulloa
2014-12-01|Falcao|9|EPL|Manchester United|Forward|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/falcao
2014-12-01|Graham Dorrans|17|EPL|West Bromwich Albion|Midfielder|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/graham-dorrans
2014-12-01|Ramires|7|EPL|Chelsea|Midfielder|1|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/ramires
2014-12-01|Eden Hazard|10|EPL|Chelsea|Midfielder|4|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/eden-hazard
2014-12-01|Mame Biram Diouf|18|EPL|Stoke City|Forward|3|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/mame-biram-diouf
2014-12-01|Mile Jedinak|15|EPL|Crystal Palace|Midfielder|5|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/mile-jedinak-2
2014-12-01|Steven Naismith|14|EPL|Everton|Forward|4|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/steven-naismith
2014-12-01|Nikica Jelavic|18|EPL|Hull City|Forward|4|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/nikica-jelavic
2014-12-01|Emmanuel Adebayor|10|EPL|Tottenham Hotspur|Forward|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/emmanuel-adebayor
2014-12-01|Seamus Coleman|23|EPL|Everton|Defender|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/seamus-coleman
2014-12-01|Edin Dzeko|10|EPL|Manchester City|Forward|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/edin-dzeko
2014-12-01|Mohamed Diamé|17|EPL|Hull City|Midfielder|4|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/mohamed-diame
2014-12-01|Peter Crouch|25|EPL|Stoke City|Forward|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/peter-crouch
2014-12-01|Daryl Janmaat|22|EPL|Newcastle United|Defender|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/daryl-janmaat
2014-12-01|Scott Dann|6|EPL|Crystal Palace|Defender|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/scott-dann
2014-12-01|Aaron Cresswell|3|EPL|West Ham United|Defender|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/aaron-cresswell-2
2014-12-01|Leroy Fer|10|EPL|Queens Park Rangers|Midfielder|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/leroy-fer
2014-12-01|Ahmed Elmohamady|27|EPL|Hull City|Midfielder|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/ahmed-elmohamady
2014-12-01|Patrick van Aanholt|3|EPL|Sunderland|Defender|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/patrick-van-aanholt
2014-12-01|Steven Gerrard|8|EPL|Liverpool|Midfielder|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/steven-gerrard
2014-12-01|Frank Lampard|18|EPL|Manchester City|Midfielder|3|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/frank-lampard
2014-12-01|Ander Herrera|21|EPL|Manchester United|Midfielder|2|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/ander-herrera
2014-12-01|Jefferson Montero|20|EPL|Swansea City|Midfielder|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/jefferson-montero
2014-12-01|James Tomkins|5|EPL|West Ham United|Defender|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/james-tomkins
2014-12-01|Jamie Vardy|9|EPL|Leicester City|Forward|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/jamie-vardy-2
2014-12-01|Lukas Jutkiewicz|19|EPL|Burnley|Forward|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/lukas-jutkiewicz
2014-12-01|James Milner|7|EPL|Manchester City|Midfielder|0|3|http://www.premierleague.com/en-gb/players/profile.statistics.html/james-milner
2014-12-01|Steven Pienaar|22|EPL|Everton|Midfielder|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/steven-pienaar
2014-12-01|Nemanja Matic|21|EPL|Chelsea|Midfielder|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/nemanja-matic
2014-12-01|Danny Rose|3|EPL|Tottenham Hotspur|Defender|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/danny-rose
2014-12-01|James Ward-Prowse|16|EPL|Southampton|Midfielder|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/james-ward-prowse
2014-12-01|Christian Eriksen|23|EPL|Tottenham Hotspur|Midfielder|5|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/christian-eriksen
2014-12-01|Abel Hernández|9|EPL|Hull City|Forward|3|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/abel-hernandez
2014-12-01|Eduardo Vargas|24|EPL|Queens Park Rangers|Forward|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/eduardo-vargas
2014-12-01|Fraizer Campbell|10|EPL|Crystal Palace|Forward|3|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/fraizer-campbell
2014-12-01|Pablo Zabaleta|5|EPL|Manchester City|Defender|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/pablo-zabaleta
2014-12-01|Samuel Eto'o|5|EPL|Everton|Forward|3|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/samuel-etoo
2014-12-01|Nathan Dyer|12|EPL|Swansea City|Midfielder|3|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/nathan-dyer
2014-12-01|Morgan Schneiderlin|4|EPL|Southampton|Midfielder|3|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/morgan-schneiderlin
2014-12-01|Yannick Bolasie|7|EPL|Crystal Palace|Midfielder|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/yannick-bolasie-2
2014-12-01|Ayoze Pérez|17|EPL|Newcastle United|Forward|3|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/ayoze-perez
2014-12-01|Sammy Ameobi|28|EPL|Newcastle United|Forward|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/sammy-ameobi
2014-12-01|Ryan Bertrand|21|EPL|Southampton|Defender|1|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/ryan-bertrand
2014-12-01|Andreas Weimann|10|EPL|Aston Villa|Forward|3|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/andreas-weimann
2014-12-01|Victor Wanyama|12|EPL|Southampton|Midfielder|3|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/victor-wanyama
2014-12-01|Robin van Persie|20|EPL|Manchester United|Forward|4|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/robin-van-persie
2014-12-01|Eric Dier|15|EPL|Tottenham Hotspur|Defender|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/eric-dier
2014-12-01|Morgan Amalfitano|21|EPL|West Ham United|Midfielder|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/morgan-amalfitano
2014-12-01|Gabriel Agbonlahor|11|EPL|Aston Villa|Forward|3|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/gabriel-agbonlahor
2014-12-01|Charlie Adam|16|EPL|Stoke City|Midfielder|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/charlie-adam
2014-12-01|Adnan Januzaj|11|EPL|Manchester United|Midfielder|0|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/adnan-januzaj-2
2014-12-01|Carlton Cole|24|EPL|West Ham United|Forward|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/carlton-cole
2014-12-01|Calum Chambers|21|EPL|Arsenal|Defender|1|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/calum-chambers
2014-12-01|Jack Cork|18|EPL|Southampton|Midfielder|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/jack-cork
2014-12-01|Shane Long|7|EPL|Southampton|Forward|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/shane-long
2014-12-01|Kevin Mirallas|11|EPL|Everton|Midfielder|3|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/kevin-mirallas
2014-12-01|Wayne Routledge|15|EPL|Swansea City|Midfielder|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/wayne-routledge
2014-12-01|Aaron Ramsey|16|EPL|Arsenal|Midfielder|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/aaron-ramsey
2014-12-01|Stevan Jovetic|35|EPL|Manchester City|Forward|3|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/stevan-jovetic
2014-12-01|Phil Jagielka|6|EPL|Everton|Defender|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/phil-jagielka
2014-12-01|Branislav Ivanovic|2|EPL|Chelsea|Defender|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/branislav-ivanovic
2014-12-01|Brede Hangeland|4|EPL|Crystal Palace|Defender|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/brede-hangeland
2014-12-01|Oussama Assaidi|24|EPL|Stoke City|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/oussama-assaidi
2014-12-01|André Schürrle|14|EPL|Chelsea|Midfielder|2|0|http://www.premierleague.com/en-gb/players/profile.statistics.html/andre-schurrle
2014-12-01|César Azpilicueta|28|EPL|Chelsea|Defender|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/cesar-azpilicueta
2014-12-01|William Buckley|30|EPL|Sunderland|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/william-buckley
2014-12-01|Jonathan Walters|19|EPL|Stoke City|Forward|3|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/jonathan-walters
2014-12-01|Liam Bridcutt|4|EPL|Sunderland|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/liam-bridcutt
2014-12-01|Ross Barkley|20|EPL|Everton|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/ross-barkley
2014-12-01|Gareth Barry|18|EPL|Everton|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/gareth-barry
2014-12-01|Steven Davis|8|EPL|Southampton|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/steven-davis
2014-12-01|Fernando|6|EPL|Manchester City|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/fernando
2014-12-01|Santiago Cazorla|19|EPL|Arsenal|Midfielder|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/santiago-cazorla
2014-12-01|Cristian Gamboa|16|EPL|West Bromwich Albion|Defender|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/cristian-gamboa
2014-12-01|Fernandinho|25|EPL|Manchester City|Midfielder|0|2|http://www.premierleague.com/en-gb/players/profile.statistics.html/fernandinho
2014-12-01|Jack Colback|14|EPL|Newcastle United|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/jack-colback
2014-12-01|Gaël Clichy|22|EPL|Manchester City|Defender|1|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/gael-clichy
2014-12-01|Rémy Cabella|20|EPL|Newcastle United|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/remy-cabella
2014-12-01|Mauricio Isla|14|EPL|Queens Park Rangers|Defender|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/mauricio-isla
2014-12-01|Harry Kane|18|EPL|Tottenham Hotspur|Forward|2|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/harry-kane
2014-12-01|Yoan Gouffran|11|EPL|Newcastle United|Forward|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/yoan-gouffran
2014-12-01|Carl Jenkinson|18|EPL|West Ham United|Defender|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/carl-jenkinson
2014-12-01|Craig Gardner|8|EPL|West Bromwich Albion|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/craig-gardner
2014-12-01|Martin Kelly|34|EPL|Crystal Palace|Defender|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/martin-kelly
2014-12-01|Tom Huddlestone|8|EPL|Hull City|Midfielder|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/tom-huddlestone
2014-12-01|Kieran Gibbs|3|EPL|Arsenal|Defender|0|1|http://www.premierleague.com/en-gb/players/profile.statistics.html/kieran-gibbs
